,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
627,"Interview de Mme Nicole Belloubet, garde des sceaux, ministre de la justice, à Radio Classique le 11 septembre 2019, sur l'indépendance de la justice, la GPA, la PMA, l'homophobie dans les stades et la justice des mineurs.",https://www.vie-publique.fr/discours/270518-nicole-belloubet-11092019-politique-judiciaire,Interview,Nicole,Belloubet,2019-09-11T12:00:00Z,INSTITUTIONS,Ministre de la justice Guillaume Durand,270518
628,"Interview de Mme Frédérique Vidal, ministre de l'enseignement supérieur, de la recherche et de l'innovation, à France-Culture le 11 septembre 2019, sur la rentrée universitaire, les inscriptions et les défaillances de Parcoursup.",https://www.vie-publique.fr/discours/273046-frederique-vidal-11092019-rentree-universitaire-inscriptions,Interview,Frédérique,Vidal,2019-09-11T12:00:00Z,SOCIÉTÉ,"Ministre de l'enseignement supérieur, de la recherche et de l'innovation",273046
629,"Déclaration de Mme Florence Parly, ministre des armées, sur la recherche stratégique en France, à Paris le 11 septembre 2019.",https://www.vie-publique.fr/discours/270427-florence-parly-11092019-recherche-strategique,Déclaration,Florence,Parly,2019-09-11T12:00:00Z,INTERNATIONAL,Ministre des armées,270427
630,"Interview de Mme Amélie de Montchalin, secrétaire d'Etat aux affaires européennes, à France Info le 11 septembre 2019, sur l'homophobie dans les stades, les commissaires européens, le Brexit et le nouveau gouvernement italien.",https://www.vie-publique.fr/discours/270519-amelie-de-montchalin-11092019-union-europeenne,Interview,Amélie,de Montchalin,2019-09-11T12:00:00Z,INTERNATIONAL,Secrétaire d'Etat aux affaires européennes Marc Fauvelle,270519
631,"Interview de M. Cédric O, secrétaire d'Etat au numérique, à BFM Business le 11 septembre 2019, sur l'économie numérique.",https://www.vie-publique.fr/discours/270520-cedric-o-11092019-economie-numerique,Interview,Cédric,O,2019-09-11T12:00:00Z,SOCIÉTÉ,Secrétaire d'Etat au numérique Hedwige Chevrillon,270520
632,"Interview de M. Marc Fesneau, ministre chargé des relations avec le Parlement, à France 2 le 11 septembre 2019, sur le projet de loi Bioéthique et le débat sans vote sur l'immigration.",https://www.vie-publique.fr/discours/271491-marc-fesneau-11092019-projet-de-loi-bioethique-immigration,Interview,Marc,Fesneau,2019-09-11T12:00:00Z,SOCIÉTÉ,Ministre chargé des relations avec le Parlement,271491
633,"Interview de Mme Agnès Buzyn, ministre des solidarités et de la santé à LCI le 11 septembre 2019, sur la réforme des urgences médicales et l'accueil dans les hôpitaux.",https://www.vie-publique.fr/discours/271894-agnes-buzyn-11092019-urgences-medicales,Interview,Agnès,Buzyn,2019-09-11T12:00:00Z,SOCIÉTÉ,ministre des solidarités et de la santé,271894
634,"Interview de M. Jean-Baptiste Lemoyne, secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères, à BFM Business le 10 septembre 2019, sur le Brexit, les commissaires européens, la Banque centrale européenne et les relations franco-russes.",https://www.vie-publique.fr/discours/270477-jean-baptiste-lemoyne-10092019-union-europeenne,Interview,Jean-Baptiste,Lemoyne,2019-09-10T12:00:00Z,INTERNATIONAL,Secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères Hedwige Chevrillon,270477
635,"Interview de Mme Muriel Pénicaud, ministre du travail à RTL le 10 septembre 2019, sur les créations d'emplois et l'apprentissage.",https://www.vie-publique.fr/discours/272968-muriel-pencaud-10092019-marche-emploi-apprentissage-creation-emploi,Interview,Muriel,Penicaud,2019-09-10T12:00:00Z,ECONOMIE,Ministre du travail,272968
636,"Interview de M. Gérald Darmanin, ministre de l'action et des comptes publics, à Radio Classique le 10 septembre 2019, sur la politique économique du gouvernement.",https://www.vie-publique.fr/discours/270475-gerald-darmanin-10092019-politique-economique,Interview,Gérald,Darmanin,2019-09-10T12:00:00Z,ECONOMIE,Ministre de l'action et des comptes publics Guillaume Durand,270475
637,"Interview de Mme Muriel Péncaud, ministre du travail à RTL le 10 septembre 2019, sur les créations d'emplois et l'apprentissage.",https://www.vie-publique.fr/discours/272966-muriel-pencaud-10092019-creation-emploi-marche-travail-apprentissage,Interview,Muriel,Penicaud,2019-09-10T12:00:00Z,ECONOMIE,Ministre du travail,272966
638,"Déclaration de M. Edouard Philippe, Premier ministre, en réponse à une question sur la tenue des élections présidentielle et législative en Tunisie, à l'Assemblée nationale le 10 septembre 2019.",https://www.vie-publique.fr/discours/270514-edouard-philippe-10092019-election-presidentielle-legislative-tunisie,Déclaration,Edouard,Philippe,2019-09-10T12:00:00Z,INTERNATIONAL,Premier ministre,270514
639,"Déclaration de M. Jean-Baptiste Djebbari, secrétaire d'État aux transports, sur les grandes lignes du projet de loi d'orientation des mobilités, à l'Assemblée nationale le 10 septembre 2019.",https://www.vie-publique.fr/discours/271937-jean-baptiste-djebbari-10092019-projet-de-loi-mobilites,Déclaration,Jean-Baptiste,Djebbari,2019-09-10T12:00:00Z,ECONOMIE,Secrétaire d'Etat aux transports,271937
640,"Déclaration de Mme Nicole Belloubet, garde des sceaux, ministre de la justice, en réponse à une question sur la filiation des enfants nés d'une GPA à l'étranger, à l'Assemblée nationale le 10 septembre 2019.",https://www.vie-publique.fr/discours/270379-nicole-belloubet-10092019-gpa,Déclaration,Nicole,Belloubet,2019-09-10T12:00:00Z,SOCIÉTÉ,Ministre de la justice,270379
641,"Déclaration de Bruno Le Maire, ministre de l'Economie et des Finances, sur la souveraineté numérique, au Sénat le 10 septembre 2019.",https://www.vie-publique.fr/discours/270406-bruno-le-maire-10092019-economie-numerique,Déclaration,Bruno,Le Maire,2019-09-10T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,270406
642,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, en réponse à une question sur les élections en Tunisie, à l'Assemblée nationale le 10 septembre 2019.",https://www.vie-publique.fr/discours/270400-jean-yves-le-drian-10092019-france-tunisie,Déclaration,Jean-Yves,Le Drian,2019-09-10T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,270400
643,"Déclaration M. Gérald Darmanin, ministre de l'action et des comptes publics, en réponse à une question sur le Brexit, à l'Assemblée nationale le 10 septembre 2019.",https://www.vie-publique.fr/discours/270380-gerald-darmanin-10092019-brexit,Déclaration,Gérald,Darmanin,2019-09-10T12:00:00Z,INTERNATIONAL,Ministre de l'action et des comptes publics,270380
644,"Déclaration de Mme Agnès Buzyn, ministre des solidarités et de la santé, sur les services d'urgences médicales et l'accueil à l'hôpital, à Paris le 9 septembre 2019.",https://www.vie-publique.fr/discours/272899-agnes-buzyn-09092019-accueil-et-urgences-hopital,Déclaration,Agnès,Buzyn,2019-09-09T12:00:00Z,SOCIÉTÉ,Ministre des solidarités et de la santé,272899
645,"Interview de M. Julien Denormandie, ministre chargé de la ville et du logement, à Radio Classique le 9 septembre 2019, sur les élections municipales, l'encadrement des loyers et les impôts locaux.",https://www.vie-publique.fr/discours/270426-julien-denormandie-09092019-election-municipale-2020,Interview,Julien,Denormandie,2019-09-09T12:00:00Z,INSTITUTIONS,Ministre chargé de la ville et du logement Guillaume Durand,270426
